strategies,total_return,annual_return,max_drawdown,sharpe_ratio,win_rate,total_trades,avg_profit_pct,final_value,score
oversold_reversal,0.33206405280150286,0.13824865498938355,-0.06630885012915375,1.7094512916912472,0.5694444444444444,290,0.018739219860939096,1332064.0528015029,0.5837662994151882
rsi_oversold|macd_hist_turn,-0.06133765361909527,-0.028182111634406426,-0.174961935427499,-0.11957626839953105,0.45490981963927857,998,-0.0006622585035028861,938662.3463809048,0.3594493038158958
wr_oversold,-0.06764212998689623,-0.03113531053695595,-0.1776089590994632,-0.1713807314078718,0.45176470588235296,850,-0.0007139013363130951,932357.8700131038,0.35518987204010843
kdj_oversold|cci_oversold,-0.13588166082719644,-0.06382799761800051,-0.23675749067569826,-0.40533500990171706,0.4272930648769575,894,-0.002342659876899725,864118.3391728036,0.3028080079294992
cci_oversold,-0.16517697161799616,-0.07829694154650957,-0.2236690607519567,-0.5931028560273945,0.41421568627450983,816,-0.003872858967401247,834823.0283820039,0.2910931990095675
boll_lower,-0.1982942079020953,-0.0949929860157106,-0.20440662911919738,-0.7993076919477663,0.42992874109263657,842,-0.004853470370650871,801705.7920979047,0.2883389504311936
kdj_rsi_oversold,-0.17513974758189654,-0.08328085962494536,-0.270714410992899,-0.6402555993664927,0.44341801385681295,866,-0.0035264330468530794,824860.2524181035,0.28175518182641557
kdj_deep_oversold,-0.1887510042792956,-0.09014360489907303,-0.25774401263719776,-0.7137542517315465,0.38676844783715014,787,-0.005088211098332613,811248.9957207044,0.26320692884826746
kdj_oversold|rsi_oversold|cci_oversold,-0.23618650432409716,-0.1145672788366281,-0.2544274293202973,-0.7806128969663607,0.4014962593516209,803,-0.005820753371420371,763813.4956759028,0.24964604727975823
deep_oversold_combo,-0.2535026715921972,-0.12368968682503123,-0.26605421594579703,-1.0530938574262931,0.3924914675767918,587,-0.008385495787985317,746497.3284078029,0.23653010685241954
full_buy_signal,-0.2666946499640972,-0.13071757026050823,-0.2840823346802631,-1.150281132681324,0.40782122905027934,717,-0.007908733773358287,733305.3500359028,0.23044380832536598
kdj_deep_oversold|rsi_oversold|wr_oversold,-0.2719990650988968,-0.13356297234667835,-0.29391555713548956,-0.8388960420673724,0.4111111111111111,900,-0.006736348023705807,728000.9349011031,0.22635904015312772
oversold_resonance,-0.27705629139109533,-0.13628638345307686,-0.3318769698700977,-1.0461873825497778,0.4155251141552511,876,-0.006436773561726199,722943.7086089046,0.2142719267291079
kdj_oversold|macd_golden_cross,-0.30782574616479896,-0.15308615710399864,-0.3299568382011992,-1.3435213025031032,0.36860068259385664,589,-0.01112987682295272,692174.253835201,0.1884628548518776
rsi_oversold|wr_oversold,-0.3164911641901955,-0.15789098195949303,-0.33497757656969684,-1.1856900767485128,0.35351089588377727,827,-0.009188255897267874,683508.8358098045,0.17896353011814592
kdj_oversold|boll_lower,-0.38678254195989625,-0.1981669141029061,-0.38756397979569646,-1.45632667972359,0.37962962962962965,864,-0.010658362789869211,613217.4580401038,0.14290667816622143
kdj_deep_oversold|rsi_oversold,-0.40910350590479605,-0.21148201038034053,-0.41666181459575596,-1.6111352498699314,0.3756218905472637,805,-0.012204949828060373,590896.4940952039,0.1240466204235339
